"comptoir_id";"software";"license";"wikidata_id";"sill_id";"cnll_id";"framalibre_slug";"software_website";"software_repository";"comptoir_url";"wikidata_url";"sill_url";"cnll_url";"framalibre_url"
334;"geOrchestra";"GNU GPLv3";"Q112611351";286;"";"";"https://www.georchestra.org/fr/";"https://github.com/georchestra/georchestra";"https://comptoir-du-libre.org/fr/softwares/334";"https://www.wikidata.org/wiki/Q112611351";"https://code.gouv.fr/sill/fr/software?id=286";"";""
663;"GeoRivière";"BSD";"";"";"";"";"https://georiviere.fr/";"https://github.com/Georiviere/Georiviere-admin";"https://comptoir-du-libre.org/fr/softwares/663";"";"";"";""
813;"Geoserver";"GNU GPL";"";"";"";"";"https://geoserver.org/";"https://github.com/geoserver/geoserver";"https://comptoir-du-libre.org/fr/softwares/813";"";"";"";""
124;"Geotrek";"BSD";"Q116819111";289;"";"";"http://geotrek.fr";"https://github.com/GeotrekCE";"https://comptoir-du-libre.org/fr/softwares/124";"https://www.wikidata.org/wiki/Q116819111";"https://code.gouv.fr/sill/fr/software?id=289";"";""
335;"GestSup";"GNU GPLv3";"";"";"";"";"https://gestsup.fr/";"https://gestsup.fr/index.php?page=download";"https://comptoir-du-libre.org/fr/softwares/335";"";"";"";""
67;"GIMP";"GNU GPLv3";"Q8038";51;431;"gimp";"https://www.gimp.org/";"https://gitlab.gnome.org/GNOME/gimp";"https://comptoir-du-libre.org/fr/softwares/67";"https://www.wikidata.org/wiki/Q8038";"https://code.gouv.fr/sill/fr/software?id=51";"https://annuaire.cnll.fr/solutions/431";"https://framalibre.org/content/gimp"
175;"Git";"GNU GPLv2";"Q186055";52;56;"";"https://git-scm.com/";"https://git.kernel.org/pub/scm/git/git.git/";"https://comptoir-du-libre.org/fr/softwares/175";"https://www.wikidata.org/wiki/Q186055";"https://code.gouv.fr/sill/fr/software?id=52";"https://annuaire.cnll.fr/solutions/56";""
363;"Git-Crypt";"GNU GPLv3";"";181;"";"";"https://www.agwa.name/projects/git-crypt/";"https://github.com/AGWA/git-crypt";"https://comptoir-du-libre.org/fr/softwares/363";"";"https://code.gouv.fr/sill/fr/software?id=181";"";""
605;"Gitea";"MIT";"Q28714270";369;"";"";"https://gitea.io/";"https://github.com/go-gitea/gitea";"https://comptoir-du-libre.org/fr/softwares/605";"https://www.wikidata.org/wiki/Q28714270";"https://code.gouv.fr/sill/fr/software?id=369";"";""
198;"Gitlab";"MIT";"Q16639197";53;"";"gitlab";"https://about.gitlab.com/";"https://gitlab.com/gitlab-org/gitlab-ce";"https://comptoir-du-libre.org/fr/softwares/198";"https://www.wikidata.org/wiki/Q16639197";"https://code.gouv.fr/sill/fr/software?id=53";"";"https://framalibre.org/content/gitlab"
516;"GitLanding";"MIT";"Q112595096";285;"";"";"https://www.gitlanding.dev/";"https://github.com/thieryw/gitlanding";"https://comptoir-du-libre.org/fr/softwares/516";"https://www.wikidata.org/wiki/Q112595096";"https://code.gouv.fr/sill/fr/software?id=285";"";""
35;"GLPI";"GNU GPLv2";"Q3104570";54;"";"glpi";"http://glpi-project.org";"https://github.com/glpi-project/glpi.git";"https://comptoir-du-libre.org/fr/softwares/35";"https://www.wikidata.org/wiki/Q3104570";"https://code.gouv.fr/sill/fr/software?id=54";"";"https://framalibre.org/content/glpi"
93;"GLPI Plugin:AdditionalAlerts";"GNU GPLv2";"";3;"";"";"http://plugins.glpi-project.org/#/plugin/additionalalerts";"https://github.com/InfotelGLPI/additionalalerts.git";"https://comptoir-du-libre.org/fr/softwares/93";"";"https://code.gouv.fr/sill/fr/software?id=3";"";""
95;"GLPI Plugin Behaviors";"CeCILL V2";"";17;"";"";"http://plugins.glpi-project.org/#/search/Behaviors";"https://forge.glpi-project.org/projects/behaviors/repository";"https://comptoir-du-libre.org/fr/softwares/95";"";"https://code.gouv.fr/sill/fr/software?id=17";"";""
92;"GLPI Plugin:Data Injection";"GNU GPLv2";"";29;"";"";"http://plugins.glpi-project.org/#/plugin/datainjection";"https://github.com/pluginsGLPI/datainjection.git";"https://comptoir-du-libre.org/fr/softwares/92";"";"https://code.gouv.fr/sill/fr/software?id=29";"";""
296;"GLPI Plugin:Escalation";"GNU aGPL v3";"";42;"";"";"https://plugins.glpi-project.org/#/plugin/escalation";"https://github.com/ddurieux/glpi_escalation";"https://comptoir-du-libre.org/fr/softwares/296";"";"https://code.gouv.fr/sill/fr/software?id=42";"";""
84;"GLPI Plugin FusionInventory";"Creative Commons Attribution-ShareAlike 3.0 licence (CC BY-SA)";"";49;"";"";"http://fusioninventory.org";"https://github.com/fusioninventory/fusioninventory-for-glpi";"https://comptoir-du-libre.org/fr/softwares/84";"";"https://code.gouv.fr/sill/fr/software?id=49";"";""
297;"GLPI Plugin:https:Geststock";"GNU aGPL v3";"";"";"";"";"https://plugins.glpi-project.org/#/plugin/geststock";"https://github.com/yllen/geststock";"https://comptoir-du-libre.org/fr/softwares/297";"";"";"";""
91;"GLPI Plugin:OCS Inventory Ng";"GNU GPLv2";"";102;"";"";"https://github.com/pluginsGLPI/ocsinventoryng";"https://github.com/pluginsGLPI/ocsinventoryng.git";"https://comptoir-du-libre.org/fr/softwares/91";"";"https://code.gouv.fr/sill/fr/software?id=102";"";""
299;"GLPI Plugin:PDF";"GNU aGPL v3";"";111;"";"";"https://plugins.glpi-project.org/#/plugin/pdf";"https://forge.glpi-project.org/projects/pdf/repository";"https://comptoir-du-libre.org/fr/softwares/299";"";"https://code.gouv.fr/sill/fr/software?id=111";"";""
298;"GLPI Plugin:Reports";"GNU aGPL v3";"";123;"";"";"https://plugins.glpi-project.org/#/plugin/reports";"https://forge.glpi-project.org/projects/reports/repository";"https://comptoir-du-libre.org/fr/softwares/298";"";"https://code.gouv.fr/sill/fr/software?id=123";"";""
96;"GLPI Plugin:Timelineticket";"GNU aGPL v3";"";148;"";"";"http://plugins.glpi-project.org/#/plugin/timelineticket";"https://github.com/pluginsGLPI/timelineticket.git";"https://comptoir-du-libre.org/fr/softwares/96";"";"https://code.gouv.fr/sill/fr/software?id=148";"";""
94;"GLPI Plugin:Uninstall";"GNU GPLv2";"";151;"";"";"http://plugins.glpi-project.org/#/plugin/uninstall";"https://github.com/pluginsGLPI/uninstall.git";"https://comptoir-du-libre.org/fr/softwares/94";"";"https://code.gouv.fr/sill/fr/software?id=151";"";""
295;"GLPI Plugin:WebServices";"GNU aGPL v3";"";160;"";"";"https://plugins.glpi-project.org/#/plugin/webservices";"https://forge.glpi-project.org/projects/webservices/repository";"https://comptoir-du-libre.org/fr/softwares/295";"";"https://code.gouv.fr/sill/fr/software?id=160";"";""
531;"G'MIC";"CeCILL-B";"Q21041255";271;"";"";"http://gmic.eu";"https://github.com/GreycLab/gmic";"https://comptoir-du-libre.org/fr/softwares/531";"https://www.wikidata.org/wiki/Q21041255";"https://code.gouv.fr/sill/fr/software?id=271";"";""
617;"GNOME";"GNU GPL";"Q44316";393;433;"";"https://www.gnome.org/";"https://gitlab.gnome.org/explore/projects";"https://comptoir-du-libre.org/fr/softwares/617";"https://www.wikidata.org/wiki/Q44316";"https://code.gouv.fr/sill/fr/software?id=393";"https://annuaire.cnll.fr/solutions/433";""
792;"GnuCash";"GNU GPLv3";"";"";"";"";"https://www.gnucash.org/";"https://github.com/Gnucash/";"https://comptoir-du-libre.org/fr/softwares/792";"";"";"";""
562;"GNU Emacs";"GNU GPLv3";"Q1252773";174;"";"gnu-emacs";"https://www.gnu.org/software/emacs/";"https://git.savannah.gnu.org/cgit/emacs.git";"https://comptoir-du-libre.org/fr/softwares/562";"https://www.wikidata.org/wiki/Q1252773";"https://code.gouv.fr/sill/fr/software?id=174";"";"https://framalibre.org/content/gnu-emacs"
618;"GNU Nano";"GNU GPL";"Q306101";394;"";"";"https://www.nano-editor.org/";"https://git.savannah.gnu.org/cgit/nano.git";"https://comptoir-du-libre.org/fr/softwares/618";"https://www.wikidata.org/wiki/Q306101";"https://code.gouv.fr/sill/fr/software?id=394";"";""
547;"GNU Octave";"GNU GPLv3";"Q223679";321;"";"gnu-octave";"https://octave.org";"https://hg.savannah.gnu.org/hgweb/octave";"https://comptoir-du-libre.org/fr/softwares/547";"https://www.wikidata.org/wiki/Q223679";"https://code.gouv.fr/sill/fr/software?id=321";"";"https://framalibre.org/content/gnu-octave"
548;"GNU TeXmacs";"GNU GPLv3";"Q1464634";322;"";"";"https://www.texmacs.org";"https://svn.savannah.gnu.org/viewvc/texmacs/";"https://comptoir-du-libre.org/fr/softwares/548";"https://www.wikidata.org/wiki/Q1464634";"https://code.gouv.fr/sill/fr/software?id=322";"";""
427;"GoFAST Digital Workplace";"LGPLv3";"";"";"";"";"https://ceo-vision.com/";"https://github.com/CEO-Vision/gofast";"https://comptoir-du-libre.org/fr/softwares/427";"";"";"";""
843;"GoGoCarto";"GNU aGPL v3";"";"";"";"";"https://gogocarto.fr";"https://gitlab.com/Seballot/gogocarto";"https://comptoir-du-libre.org/fr/softwares/843";"";"";"";""
572;"Goupile";"LGPLv3";"Q120131804";403;"";"";"https://goupile.fr";"https://framagit.org/interhop/goupile";"https://comptoir-du-libre.org/fr/softwares/572";"https://www.wikidata.org/wiki/Q120131804";"https://code.gouv.fr/sill/fr/software?id=403";"";""
625;"GParted";"GNU GPLv2";"Q843156";402;"";"";"https://gparted.org/";"https://github.com/GNOME/gparted";"https://comptoir-du-libre.org/fr/softwares/625";"https://www.wikidata.org/wiki/Q843156";"https://code.gouv.fr/sill/fr/software?id=402";"";""
373;"Grafana";"Apache License 2.0";"Q43399271";188;"";"";"https://grafana.com/";"https://github.com/grafana/grafana";"https://comptoir-du-libre.org/fr/softwares/373";"https://www.wikidata.org/wiki/Q43399271";"https://code.gouv.fr/sill/fr/software?id=188";"";""
79;"Grammalecte";"GNU GPLv3";"Q17629243";57;"";"";"http://www.dicollecte.org/grammalecte/";"http://www.dicollecte.org/grammalecte/";"https://comptoir-du-libre.org/fr/softwares/79";"https://www.wikidata.org/wiki/Q17629243";"https://code.gouv.fr/sill/fr/software?id=57";"";""
